MonthYear,Trade Volume
"Bitcoin trading volume on online exchanges in the United States from March 16, 2013 to February 13, 2021",
,
"Mar 16, 2013","8,186"
"Mar 23, 2013","21,075"
"Mar 30, 2013","16,792"
"Apr 06, 2013","55,782"
"Apr 13, 2013","112,238"
"Apr 20, 2013","43,537"
"Apr 27, 2013","35,105"
"May 04, 2013","38,764"
"May 11, 2013","44,141"
"May 18, 2013","70,525"
"May 25, 2013","68,388"
"Jun 01, 2013","59,890"
"Jun 08, 2013","111,439"
"Jun 15, 2013","106,337"
"Jun 22, 2013","116,039"
"Jun 29, 2013","135,067"
"Jul 06, 2013","186,456"
"Jul 13, 2013","193,185"
"Jul 20, 2013","352,429"
"Jul 27, 2013","477,526"
"Aug 03, 2013","563,555"
"Aug 10, 2013","604,003"
"Aug 17, 2013","651,731"
"Aug 24, 2013","805,063"
"Aug 31, 2013","758,088"
"Sep 07, 2013","774,434"
"Sep 14, 2013","908,695"
"Sep 21, 2013","1,010,317"
"Sep 28, 2013","1,063,727"
"Oct 05, 2013","942,381"
"Oct 12, 2013","717,409"
"Oct 19, 2013","929,326"
"Oct 26, 2013","1,029,867"
"Nov 02, 2013","1,148,341"
"Nov 09, 2013","1,587,005"
"Nov 16, 2013","1,616,385"
"Nov 23, 2013","2,029,594"
"Nov 30, 2013","2,224,726"
"Dec 07, 2013","2,110,459"
"Dec 14, 2013","1,745,794"
"Dec 21, 2013","1,785,618"
"Dec 28, 2013","1,211,749"
"Jan 04, 2014","1,558,095"
"Jan 11, 2014","1,883,821"
"Jan 18, 2014","2,053,591"
"Jan 25, 2014","2,083,361"
"Feb 01, 2014","1,914,886"
"Feb 08, 2014","2,199,049"
"Feb 15, 2014","1,526,425"
"Feb 22, 2014","1,604,963"
"Mar 01, 2014","1,804,543"
"Mar 08, 2014","2,021,884"
"Mar 15, 2014","2,023,091"
"Mar 22, 2014","1,936,113"
"Mar 29, 2014","1,965,657"
"Apr 05, 2014","2,033,259"
"Apr 12, 2014","2,147,692"
"Apr 19, 2014","2,184,686"
"Apr 26, 2014","2,176,941"
"May 03, 2014","2,007,480"
"May 10, 2014","2,049,388"
"May 17, 2014","1,893,719"
"May 24, 2014","2,431,875"
"May 31, 2014","2,197,716"
"Jun 07, 2014","2,584,414"
"Jun 14, 2014","2,879,905"
"Jun 21, 2014","2,719,635"
"Jun 28, 2014","2,490,597"
"Jul 05, 2014","2,544,357"
"Jul 12, 2014","2,829,859"
"Jul 19, 2014","2,810,923"
"Jul 26, 2014","2,668,607"
"Aug 02, 2014","2,777,484"
"Aug 09, 2014","2,724,250"
"Aug 16, 2014","2,756,927"
"Aug 23, 2014","2,727,226"
"Aug 30, 2014","2,516,112"
"Sep 06, 2014","3,495,319"
"Sep 13, 2014","3,806,113"
"Sep 20, 2014","3,583,497"
"Sep 27, 2014","3,623,194"
"Oct 04, 2014","3,300,069"
"Oct 11, 2014","3,279,668"
"Oct 18, 2014","3,237,700"
"Oct 25, 2014","3,519,995"
"Nov 01, 2014","3,410,667"
"Nov 08, 2014","3,430,551"
"Nov 15, 2014","3,479,663"
"Nov 22, 2014","3,598,913"
"Nov 29, 2014","3,212,632"
"Dec 06, 2014","3,955,129"
"Dec 13, 2014","3,813,069"
"Dec 20, 2014","4,107,485"
"Dec 27, 2014","2,913,625"
"Jan 03, 2015","3,014,380"
"Jan 10, 2015","3,818,933"
"Jan 17, 2015","3,773,026"
"Jan 24, 2015","3,565,657"
"Jan 31, 2015","3,700,990"
"Feb 07, 2015","3,915,832"
"Feb 14, 2015","4,145,407"
"Feb 21, 2015","4,174,991"
"Feb 28, 2015","4,360,300"
"Mar 07, 2015","4,376,479"
"Mar 14, 2015","4,360,480"
"Mar 21, 2015","4,427,142"
"Mar 28, 2015","4,164,342"
"Apr 04, 2015","4,446,635"
"Apr 11, 2015","4,315,161"
"Apr 18, 2015","3,991,545"
"Apr 25, 2015","4,236,002"
"May 02, 2015","4,275,846"
"May 09, 2015","4,191,203"
"May 16, 2015","4,338,959"
"May 23, 2015","4,002,649"
"May 30, 2015","4,038,170"
"Jun 06, 2015","4,897,409"
"Jun 13, 2015","4,745,903"
"Jun 20, 2015","4,733,168"
"Jun 27, 2015","4,669,463"
"Jul 04, 2015","4,617,827"
"Jul 11, 2015","4,833,842"
"Jul 18, 2015","4,749,371"
"Jul 25, 2015","4,631,747"
"Aug 01, 2015","4,728,822"
"Aug 08, 2015","5,066,633"
"Aug 15, 2015","4,844,322"
"Aug 22, 2015","4,765,056"
"Aug 29, 2015","4,734,793"
"Sep 05, 2015","5,057,320"
"Sep 12, 2015","5,059,241"
"Sep 19, 2015","5,473,932"
"Sep 26, 2015","5,609,121"
"Oct 03, 2015","5,510,019"
"Oct 10, 2015","6,199,314"
"Oct 17, 2015","6,005,900"
"Oct 24, 2015","6,411,031"
"Oct 31, 2015","6,699,279"
"Nov 07, 2015","7,318,398"
"Nov 14, 2015","5,911,949"
"Nov 21, 2015","5,951,996"
"Nov 28, 2015","5,390,679"
"Dec 05, 2015","6,205,555"
"Dec 12, 2015","6,350,927"
"Dec 19, 2015","6,484,834"
"Dec 26, 2015","4,660,327"
"Jan 02, 2016","4,649,399"
"Jan 09, 2016","5,147,729"
"Jan 16, 2016","6,330,167"
"Jan 23, 2016","5,827,353"
"Jan 30, 2016","6,278,019"
"Feb 06, 2016","6,511,292"
"Feb 13, 2016","7,065,042"
"Feb 20, 2016","7,402,705"
"Feb 27, 2016","7,653,223"
"Mar 05, 2016","7,441,491"
"Mar 12, 2016","7,785,464"
