MonthYear,Price $
"Bitcoin (BTC) price per day from October 2013 to April 7, 2022 (in U.S. dollars)",
,
Oct 2013,196.02
Nov 2013,"1,154.93"
Dec 2013,744.17
Jan 2014,841.49
Feb 2014,567.29
Mar 2014,472.48
Apr 2014,444.86
May 2014,612.13
Jun 2014,597.51
Jul 2014,564.57
Aug 2014,502.06
Sep 2014,376.08
Oct 2014,343.56
Nov 2014,376.85
Dec 2014,309.90
Jan 2015,226.94
Feb 2015,251.03
Mar 2015,247.26
Apr 2015,226
May 2015,233.33
Jun 2015,258.39
Jul 2015,286.74
Aug 2015,227.18
Sep 2015,238.06
Oct 2015,327.58
Nov 2015,375.20
Dec 2015,424.96
Jan 2016,378.17
Feb 2016,438.28
Mar 2016,414.46
Apr 2016,454.38
May 2016,537.23
Jun 2016,635.09
Jul 2016,635.59
Aug 2016,573.78
Sep 2016,604.52
Oct 2016,693.90
Nov 2016,731.64
Dec 2016,952.46
Jan 2017,921.35
Feb 2017,"1,189.95"
Mar 2017,"1,048.86"
Apr 2017,"1,311.59"
May 2017,"2,170.98"
Jun 2017,"2,547.32"
Jul 2017,"2,718.62"
Aug 2017,"4,676.14"
Sep 2017,"4,207.83"
Oct 2017,"6,130.56"
Nov 2017,"10,542.66"
Dec 2017,"13,062.15"
Jan 2018,"9,914.47"
Feb 2018,"10,903.02"
Mar 2018,"6,970.36"
Apr 2018,"9,268.72"
May 2018,"7,363.28"
Jun 2018,"6,189.31"
Jul 2018,"8,166.39"
Aug 2018,"6,938.91"
Sep 2018,"6,576.61"
Oct 2018,"6,276.46"
Nov 2018,"3,952.45"
Dec 2018,"3,689.56"
Jan 2019,"3,441.03"
Feb 2019,"3,772.94"
Mar 2019,"4,081.22"
Apr 2019,"5,151.43"
May 2019,"8,287.04"
Jun 2019,"12,024.08"
Jul 2019,"9,572.74"
Aug 2019,"9,590.74"
Sep 2019,"8,085.71"
Oct 2019,"9,226"
Nov 2019,"7,729.27"
Dec 2019,"7,251.28"
Jan 2020,"9,545.08"
Feb 2020,"8,778.47"
Mar 2020,"6,483.74"
Apr 2020,"8,773.11"
May 2020,"9,688.32"
Jun 2020,"9,188.06"
Jul 2020,"11,118.92"
Aug 2020,"11,657"
Sep 2020,"10,764.28"
Oct 2020,"13,573.71"
Nov 2020,"18,114.41"
Dec 2020,"28,768.84"
Jan 2021,"34,622.37"
Feb 2021,"46,642.61"
Mar 2021,"58,734.48"
Apr 2021,"53,260.30"
May 2021,"35,749.66"
Jun 2021,"35,945.79"
Jul 2021,"41,157.15"
Aug 2021,"47,663.02"
Sep 2021,"41,412.61"
Oct 2021,"61,374.28"
Nov 2021,"57,834.36"
Dec 2021,"47,128.47"
