MonthYear,market cap,Total Count,Verified,Non-Verified,World Count
2013-04-01,1.54,1127.0,84.0,1043.0,387827.0
2013-05-01,1.45,481.0,28.0,453.0,211631.0
2013-06-01,1.10,169.0,10.0,159.0,131021.0
2013-07-01,1.22,121.0,9.0,112.0,164121.0
2013-08-01,1.57,242.0,14.0,228.0,177440.0
2013-09-01,1.57,194.0,11.0,183.0,127968.0
2013-10-01,2.43,492.0,24.0,468.0,207054.0
2013-11-01,13.62,1731.0,121.0,1610.0,485021.0
2013-12-01,9.19,2553.0,170.0,2383.0,725666.0
2014-01-01,10.24,2251.0,147.0,2104.0,730581.0
2014-02-01,6.84,2474.0,145.0,2329.0,771133.0
2014-03-01,5.75,3198.0,260.0,2938.0,938931.0
2014-04-01,5.69,1268.0,74.0,1193.0,556310.0
2014-05-01,8.01,1483.0,65.0,1418.0,590462.0
2014-06-01,8.30,1202.0,50.0,1152.0,563289.0
2014-07-01,7.67,1090.0,54.0,1035.0,619263.0
2014-08-01,6.31,906.0,34.0,872.0,565706.0
2014-09-01,5.16,1008.0,51.0,957.0,627764.0
2014-10-01,4.55,1057.0,77.0,980.0,613584.0
2014-11-01,5.13,967.0,51.0,916.0,561429.0
2014-12-01,4.38,1347.0,87.0,1260.0,597210.0
2015-01-01,3,1286.0,109.0,1177.0,705187.0
2015-02-01,3.53,846.0,75.0,771.0,624160.0
2015-03-01,3.42,932.0,65.0,867.0,750097.0
2015-04-01,3.33,858.0,56.0,802.0,754116.0
2015-05-01,3.27,853.0,56.0,797.0,680838.0
2015-06-01,3.77,594.0,55.0,539.0,683463.0
2015-07-01,4.11,3018.0,43.0,2975.0,735525.0
2015-08-01,3.35,2917.0,41.0,2876.0,732396.0
2015-09-01,3.46,762.0,45.0,717.0,786830.0
2015-10-01,4.65,738.0,52.0,686.0,714543.0
2015-11-01,5.62,1011.0,73.0,938.0,821210.0
2015-12-01,6.47,911.0,99.0,812.0,749277.0
2016-01-01,5.59,1530.0,113.0,1417.0,777007.0
2016-02-01,6.68,1165.0,56.0,1109.0,741571.0
2016-03-01,6.41,1155.0,58.0,1097.0,824279.0
2016-04-01,6.94,993.0,23.0,970.0,715831.0
2016-05-01,8.29,1035.0,95.0,940.0,848240.0
2016-06-01,10.58,947.0,77.0,870.0,885591.0
2016-07-01,9.86,705.0,59.0,646.0,732842.0
2016-08-01,9.12,743.0,56.0,687.0,685531.0
2016-09-01,9.69,595.0,45.0,550.0,607433.0
2016-10-01,11.18,715.0,58.0,657.0,574983.0
