,Total Count,Verified,Non-Verified
1-2013,45,1,44
2-2013,60,4,56
3-2013,246,27,219
4-2013,1127,84,1043
5-2013,481,28,453
6-2013,169,10,159
7-2013,121,9,112
8-2013,242,14,228
9-2013,194,11,183
10-2013,492,24,468
11-2013,1731,121,1610
12-2013,2553,170,2383
1-2014,2251,147,2104
2-2014,2474,145,2329
3-2014,3198,260,2938
4-2014,1268,74,1193
5-2014,1483,65,1418
6-2014,1202,50,1152
7-2014,1090,54,1035
8-2014,906,34,872
9-2014,1008,51,957
10-2014,1057,77,980
11-2014,967,51,916
12-2014,1347,87,1260
1-2015,1286,109,1177
2-2015,846,75,771
3-2015,932,65,867
4-2015,858,56,802
5-2015,853,56,797
6-2015,594,55,539
7-2015,3018,43,2975
8-2015,2917,41,2876
9-2015,762,45,717
10-2015,738,52,686
11-2015,1011,73,938
12-2015,911,99,812
1-2016,1530,113,1417
2-2016,1165,56,1109
3-2016,1155,58,1097
4-2016,993,23,970
5-2016,1035,95,940
6-2016,947,77,870
7-2016,705,59,646
8-2016,743,56,687
9-2016,595,45,550
10-2016,715,58,657
11-2016,722,59,663
12-2016,992,53,939
1-2017,1117,104,1013
2-2017,911,54,857
3-2017,1518,73,1445
4-2017,1243,55,1188
5-2017,2418,151,2267
6-2017,1776,96,1680
7-2017,1770,144,1626
8-2017,2824,231,2594
9-2017,2687,258,2428
10-2017,3242,218,3024
11-2017,7272,381,6891
12-2017,17391,752,16637
1-2018,9037,469,8567
2-2018,6065,309,5756
3-2018,4422,180,4242
4-2018,3444,158,3286
5-2018,3313,162,3151
6-2018,2656,132,2524
7-2018,2823,115,2707
8-2018,2926,146,2780
9-2018,2337,92,2245
10-2018,2241,70,2171
11-2018,2826,114,2712
12-2018,2379,95,2284
1-2019,2141,42,2099
2-2019,1953,53,1900
3-2019,1697,61,1636
4-2019,2399,63,2336
5-2019,3879,120,3759
6-2019,3856,123,3734
7-2019,3638,101,3537
8-2019,2581,45,2536
9-2019,2386,49,2336
10-2019,2441,54,2387
11-2019,1996,45,1951
12-2019,1723,33,1690
3-2021,7405,197,7208
1-2020,1665,20,1645
2-2020,1948,31,1917
3-2020,2416,51,2365
4-2020,1962,32,1930
5-2020,2928,53,2875
6-2020,1839,23,1816
7-2020,3371,64,3304
8-2020,2573,39,2534
9-2020,1913,15,1899
10-2020,2546,17,2529
11-2020,4844,54,4790
12-2020,6577,82,6495
1-2021,10204,191,10018
2-2021,10324,262,10061
4-2021,6375,217,6155
5-2021,8649,265,8386
6-2021,7305,296,7009
7-2021,5139,178,4960
8-2021,7618,125,7494
9-2021,4786,71,4718
10-2021,7465,181,7286
11-2021,7090,183,6907
12-2021,6335,118,6217
